药名	原文字句	规范化性味
鬼臼	味辛溫	辛
扁蓄	味苦平	平，苦
商陸	味辛平	平，辛
女青	味辛平	平，辛
姑活	味甘溫	甘
別羈	味苦微溫	苦
石下長卿	味鹹平	平
翹根	味苦寒	寒，苦
屈草	味苦	苦
松蘿	味苦平	平，苦
五加	味辛溫	辛
豬苓	味甘平	平，甘
白棘	味辛寒	寒，辛
衛矛	味苦寒無毒	寒，苦
黃環	味苦有毒	苦
石南草	味辛平	平，辛
巴豆	味辛溫有毒	辛
蜀椒	味辛溫	辛
莽草	味辛溫	辛
郁核	味酸平	平，酸
欒華	味苦寒	寒，苦
蔓椒	味苦溫	苦
雷丸	味苦寒	寒，苦
溲疏	味辛寒	寒，辛
藥食根	味辛溫	辛
皂莢	味辛鹹溫	辛
練實	味苦寒	寒，苦
柳華	味苦寒	寒，苦
桐葉	味苦寒	寒，苦
梓白皮	味苦寒	寒，苦
淮木	味苦平無毒	平，苦
桃核	味苦平	平，苦
苦瓠	味苦寒	寒，苦
水斳	味甘平	平，甘
腐婢	味辛平	平，辛
六畜毛蹄甲	味鹹平	平
麋脂	味辛溫	辛
豚卵	味甘溫	甘
鷰屎	味辛平	平，辛
天鼠屎	味辛寒	寒，辛
露蜂房	味苦平	平，苦
樗雞	味苦平	平，苦
蟅蟲	味鹹寒	寒
水蛭	味鹹平	平
石蠶	味酸無毒	酸
蛇蛻	味鹹平	平
吳公	味辛溫	辛
馬陸	味辛溫	辛
翳螉	味辛平	平，辛
雀甕	味甘平	平，甘
彼子	味甘溫	甘
鼠婦	味酸溫	酸
螢火	味辛微溫	辛
衣魚	味鹹溫無毒	
白頸蚯蚓	味鹹寒	寒
螻蛄	味鹹寒	寒
蜣蜋	味鹹寒	寒
螌蝥	味辛寒	寒，辛
地膽	味辛寒	寒，辛
馬刀	味辛微寒有毒	微寒，辛
貝子	味鹹平	平
